IP,Country,Download,Upload,Latency,ISP,Timestamp,Latitude,Longitude,ConnectionType,DeviceID,POP,AppID,ExchangeName
46.32.125.199 HTTP/1.1,US,5.049,4.631,69,0,1544809501059,31.95,35.9333,cellular,4e33be7e-f574-4b10-864a-6de5dddd721b,RUH,645035,Mopub
92.241.42.177 HTTP/1.1,DE,24.062,3.171,142,0,1544809501159,31.95,35.9333,fixed,9dcf8a3a-3a01-4bd7-b134-455ade9861cf,FRA,579914,Mopub
46.32.122.130 HTTP/1.1,US,20.342,3.982,68,0,1544809514652,31.95,35.9333,cellular,892cab0b-4c3b-46ae-8efd-4df78147b10c,RUH,100803,Mopub
92.241.37.85 HTTP/1.1,DE,14.105,2.855,129,0,1544809522454,31.95,35.9333,fixed,9b93f9ae-396d-42a6-974c-a6370dc44f01,FRA,15846075,Mopub
188.247.74.229 HTTP/1.1,US,6.284,2.203,140,0,1544809528952,31.95,35.9333,cellular,4bfa4e12-c43a-4fd1-85c6-04faaf295305,RUH,783426,Mopub
149.200.245.172 HTTP/1.1,IT,6.797,7.521,106,0,1544809530155,31.95,35.9333,fixed,8db12846-865a-4e18-82e8-4917b163da54,MRS,579914,Mopub
5.45.136.158 HTTP/1.1,DE,1.268,2.696,605,0,1544809531954,31.95,35.9333,fixed,ec827c9c-72f3-4402-8348-22b3102d86cb,FRA,4103400,Mopub
5.45.134.136 HTTP/1.1,DE,2.429,3.547,450,0,1544809532761,31.95,35.9333,fixed,c1cc7caa-481c-48b4-9bab-8677e89f4fff,FRA,579914,Mopub
46.32.125.120 HTTP/1.1,US,37.089,5.046,69,0,1544809532861,31.95,35.9333,fixed,81e470d8-c47a-43a1-bf38-a65db1ae4ccd,RUH,15846075,Mopub
94.249.40.53 HTTP/1.1,IT,4.465,31.800,212,0,1544809534255,31.95,35.9333,fixed,4a85365e-eeab-4eac-9abe-2cef684abd1f,MRS,15846075,Mopub
212.34.11.198 HTTP/1.1,IT,2.360,2.621,241,0,1544809536459,31.95,35.9333,fixed,e8c16a5d-c5bf-4788-b655-f40246721fa6,MRS,15846075,Mopub
188.247.76.104 HTTP/1.1,US,4.837,5.519,131,0,1544809537654,31.95,35.9333,fixed,dd9a5485-7991-4df5-bfac-fcaa4e45728f,RUH,13224155,Mopub
